country,city_actual,rating_count,center1distance,center1label,center2distance,center2label,neighbourhood,price,price_night,city,stars,ratingta,ratingta_count,accommodation_type,ratings,scarce_room,hotel_id,offer,offer_cat,year,month,weekend,holiday,nnights,distance,distance_alter
Italy,Milan,145,2.1 miles,City centre,3.8 miles,Milan Romolo Station,Bovisa,80,price for 1 night,Milan,4,3.5,314,Hotel,3.7,1,9816,1,15-50% offer,2017,11,0,0,1,2.1,3.8
Italy,Milan,89,1.7 miles,City centre,3.7 miles,Milan Romolo Station,Bovisa,100,price for 1 night,Milan,3,3.5,233,Hotel,3.7,1,9820,1,15-50% offer,2017,11,0,0,1,1.7,3.7
Italy,Milan,136,1.9 miles,City centre,3.8 miles,Milan Romolo Station,Bovisa,65,price for 1 night,Milan,4,3.5,903,Hotel,3.9,0,9821,1,15-50% offer,2017,11,0,0,1,1.9,3.8
Italy,Milan,67,2.4 miles,City centre,4.1 miles,Milan Romolo Station,Bovisa,93,price for 1 night,Milan,3,2.5,142,Hotel,3.2,0,9822,0,0% no offer,2017,11,0,0,1,2.4,4.1
Italy,Milan,164,2.8 miles,City centre,4.7 miles,Milan Romolo Station,Bovisa,104,price for 1 night,Milan,4,4,783,Hotel,4.1,0,9823,1,15-50% offer,2017,11,0,0,1,2.8,4.7
Italy,Milan,246,0.9 miles,City centre,2.7 miles,Milan Romolo Station,Chinatown,103,price for 1 night,Milan,4,4,568,Hotel,4,1,9869,1,15-50% offer,2017,11,0,0,1,0.9,2.7
Italy,Milan,53,1.8 miles,City centre,3.4 miles,Milan Romolo Station,Citta Studi,124,price for 1 night,Milan,4,3.5,156,Hotel,3.9,1,9874,1,15-50% offer,2017,11,0,0,1,1.8,3.4
Italy,Milan,181,1.9 miles,City centre,3.8 miles,Milan Romolo Station,Citta Studi,73,price for 1 night,Milan,3,4,315,Hotel,3.9,1,9875,1,50%-75% offer,2017,11,0,0,1,1.9,3.8
Italy,Milan,209,1.9 miles,City centre,3.8 miles,Milan Romolo Station,Citta Studi,75,price for 1 night,Milan,3,4,445,Hotel,3.7,1,9876,1,15-50% offer,2017,11,0,0,1,1.9,3.8
Italy,Milan,103,2.5 miles,City centre,4.3 miles,Milan Romolo Station,Citta Studi,52,price for 1 night,Milan,3,2.5,137,Hotel,3.2,1,9881,1,1-15% offer,2017,11,0,0,1,2.5,4.3
Italy,Milan,49,2.6 miles,City centre,4.4 miles,Milan Romolo Station,Citta Studi,118,price for 1 night,Milan,3,3.5,239,Hotel,3.5,1,9885,1,75%+ offer,2017,11,0,0,1,2.6,4.4
Italy,Milan,154,2.9 miles,City centre,4.8 miles,Milan Romolo Station,Citta Studi,158,price for 1 night,Milan,4,4.5,575,Hotel,4.4,0,9890,1,15-50% offer,2017,11,0,0,1,2.9,4.8
Italy,Milan,8,1.8 miles,City centre,3.3 miles,Milan Romolo Station,Citta Studi,163,price for 1 night,Milan,3,4,150,Hotel,3.5,1,9895,0,0% no offer,2017,11,0,0,1,1.8,3.3
Italy,Milan,78,1.8 miles,City centre,3.8 miles,Milan Romolo Station,Citta Studi,78,price for 1 night,Milan,3,3,115,Hotel,3.2,1,9901,1,15-50% offer,2017,11,0,0,1,1.8,3.8
Italy,Milan,63,1.9 miles,City centre,3.3 miles,Milan Romolo Station,Citta Studi,67,price for 1 night,Milan,3,2.5,114,Hotel,3.2,1,9905,0,0% no offer,2017,11,0,0,1,1.9,3.3
Italy,Milan,66,2.0 miles,City centre,3.5 miles,Milan Romolo Station,Citta Studi,88,price for 1 night,Milan,3,2.5,79,Hotel,3.2,1,9913,0,0% no offer,2017,11,0,0,1,2,3.5
Italy,Milan,133,2.0 miles,City centre,3.8 miles,Milan Romolo Station,Citta Studi,89,price for 1 night,Milan,3,4,360,Hotel,3.7,0,9917,1,15-50% offer,2017,11,0,0,1,2,3.8
Italy,Milan,117,2.0 miles,City centre,4.0 miles,Milan Romolo Station,Citta Studi,98,price for 1 night,Milan,3,4,565,Hotel,4,0,9918,0,0% no offer,2017,11,0,0,1,2,4
Italy,Milan,81,2.1 miles,City centre,4.1 miles,Milan Romolo Station,Citta Studi,127,price for 1 night,Milan,4,3.5,193,Hotel,3.9,1,9919,1,15-50% offer,2017,11,0,0,1,2.1,4.1
Italy,Milan,116,1.5 miles,City centre,3.1 miles,Milan Romolo Station,Citta Studi,106,price for 1 night,Milan,3,4,337,Hotel,4,1,9920,0,0% no offer,2017,11,0,0,1,1.5,3.1
Italy,Milan,71,1.0 mile,City centre,2.9 miles,Milan Romolo Station,Corso Buenos Aires,130,price for 1 night,Milan,3,4,458,Hotel,3.7,1,9933,1,15-50% offer,2017,11,0,0,1,1,2.9
Italy,Milan,48,1.2 miles,City centre,3.1 miles,Milan Romolo Station,Corso Buenos Aires,108,price for 1 night,Milan,3,3.5,156,Hotel,3.5,1,9934,0,0% no offer,2017,11,0,0,1,1.2,3.1
Italy,Milan,231,1.3 miles,City centre,3.2 miles,Milan Romolo Station,Corso Buenos Aires,115,price for 1 night,Milan,4,3,500,Hotel,3.5,0,9935,1,15-50% offer,2017,11,0,0,1,1.3,3.2
Italy,Milan,168,1.3 miles,City centre,3.2 miles,Milan Romolo Station,Corso Buenos Aires,158,price for 1 night,Milan,4,4,765,Hotel,4,0,9936,0,0% no offer,2017,11,0,0,1,1.3,3.2
Italy,Milan,166,1.0 mile,City centre,2.9 miles,Milan Romolo Station,Corso Buenos Aires,199,price for 1 night,Milan,4,4,1115,Hotel,4,0,9938,1,15-50% offer,2017,11,0,0,1,1,2.9
Italy,Milan,280,1.4 miles,City centre,3.3 miles,Milan Romolo Station,Corso Buenos Aires,163,price for 1 night,Milan,4,4,2223,Hotel,4.4,0,9941,1,15-50% offer,2017,11,0,0,1,1.4,3.3
Italy,Milan,106,1.4 miles,City centre,3.4 miles,Milan Romolo Station,Corso Buenos Aires,146,price for 1 night,Milan,4,4,384,Hotel,4.1,0,9950,1,15-50% offer,2017,11,0,0,1,1.4,3.4
Italy,Milan,103,1.7 miles,City centre,3.7 miles,Milan Romolo Station,Corso Buenos Aires,91,price for 1 night,Milan,3,3.5,223,Hotel,3.9,1,9951,1,15-50% offer,2017,11,0,0,1,1.7,3.7
Italy,Milan,2,1.3 miles,City centre,3.3 miles,Milan Romolo Station,Corso Buenos Aires,84,price for 1 night,Milan,3,3,357,Hotel,3,1,9952,0,0% no offer,2017,11,0,0,1,1.3,3.3
Italy,Milan,245,1.2 miles,City centre,3.2 miles,Milan Romolo Station,Corso Buenos Aires,113,price for 1 night,Milan,3,3.5,997,Hotel,3.7,0,9954,1,50%-75% offer,2017,11,0,0,1,1.2,3.2
Italy,Milan,379,1.2 miles,City centre,3.2 miles,Milan Romolo Station,Corso Buenos Aires,157,price for 1 night,Milan,4,4,1082,Hotel,4,0,9955,1,15-50% offer,2017,11,0,0,1,1.2,3.2
Italy,Milan,167,1.2 miles,City centre,3.1 miles,Milan Romolo Station,Corso Buenos Aires,106,price for 1 night,Milan,3,4.5,490,Hotel,4.4,1,9956,1,15-50% offer,2017,11,0,0,1,1.2,3.1
Italy,Milan,115,1.0 mile,City centre,3.0 miles,Milan Romolo Station,Corso Buenos Aires,160,price for 1 night,Milan,4,4,516,Hotel,4,0,9961,1,15-50% offer,2017,11,0,0,1,1,3
Italy,Milan,290,1.7 miles,City centre,3.0 miles,Milan Romolo Station,Corso Sempione,147,price for 1 night,Milan,4,4.5,1682,Hotel,4.1,0,9964,1,75%+ offer,2017,11,0,0,1,1.7,3
Italy,Milan,68,3.3 miles,City centre,4.3 miles,Milan Romolo Station,Fiera Milano Rho,87,price for 1 night,Milan,3,3,118,Hotel,3.4,1,9986,1,1-15% offer,2017,11,0,0,1,3.3,4.3
Italy,Milan,287,4.4 miles,City centre,5.4 miles,Milan Romolo Station,Fiera Milano Rho,105,price for 1 night,Milan,4,4,1216,Hotel,3.9,0,10010,1,15-50% offer,2017,11,0,0,1,4.4,5.4
Italy,Milan,72,5.8 miles,City centre,4.9 miles,Milan Romolo Station,Fiera Milano Rho,133,price for 1 night,Milan,4,4.5,316,Hotel,4.1,0,10012,1,1-15% offer,2017,11,0,0,1,5.8,4.9
Italy,Milan,965,4.2 miles,City centre,6.1 miles,Milan Romolo Station,Fiera Milano Rho,89,price for 1 night,Milan,4,3.5,1797,Hotel,4,0,10020,1,50%-75% offer,2017,11,0,0,1,4.2,6.1
Italy,Milan,214,4.1 miles,City centre,5.2 miles,Milan Romolo Station,Fiera Milano Rho,58,price for 1 night,Milan,4,4,1228,Hotel,4,0,10021,1,75%+ offer,2017,11,0,0,1,4.1,5.2
Italy,Milan,183,4.5 miles,City centre,5.5 miles,Milan Romolo Station,Fiera Milano Rho,117,price for 1 night,Milan,4,4,1031,Hotel,4,0,10028,1,15-50% offer,2017,11,0,0,1,4.5,5.5
Italy,Milan,513,3.9 miles,City centre,2.5 miles,Milan Romolo Station,Milan,156,price for 1 night,Milan,4,4.5,37,Hotel,3.5,0,10055,0,0% no offer,2017,11,0,0,1,3.9,2.5
Italy,Milan,649,1.2 miles,City centre,3.3 miles,Milan Romolo Station,Milan,170,price for 1 night,Milan,4,4,885,Hotel,4.1,0,10061,1,15-50% offer,2017,11,0,0,1,1.2,3.3
Italy,Milan,433,1.3 miles,City centre,3.4 miles,Milan Romolo Station,Milan,144,price for 1 night,Milan,3.5,3.5,566,Hotel,4,1,10062,1,15-50% offer,2017,11,0,0,1,1.3,3.4
Italy,Milan,444,1.4 miles,City centre,3.5 miles,Milan Romolo Station,Milan,154,price for 1 night,Milan,4,4,1435,Hotel,4.3,0,10064,1,15-50% offer,2017,11,0,0,1,1.4,3.5
Italy,Milan,982,1.3 miles,City centre,3.4 miles,Milan Romolo Station,Milan,157,price for 1 night,Milan,4,4,1711,Hotel,4.1,1,10065,1,15-50% offer,2017,11,0,0,1,1.3,3.4
Italy,Milan,157,0.6 miles,City centre,2.8 miles,Milan Romolo Station,Milan,109,price for 1 night,Milan,3,3.5,417,Hotel,3.7,1,10067,1,50%-75% offer,2017,11,0,0,1,0.6,2.8
Italy,Milan,441,1.1 miles,City centre,3.2 miles,Milan Romolo Station,Milan,78,price for 1 night,Milan,3,3,442,Hotel,3.4,1,10080,1,15-50% offer,2017,11,0,0,1,1.1,3.2
Italy,Milan,120,1.1 miles,City centre,3.2 miles,Milan Romolo Station,Milan,91,price for 1 night,Milan,3,3.5,175,Hotel,3.9,1,10082,1,15-50% offer,2017,11,0,0,1,1.1,3.2
Italy,Milan,153,1.0 mile,City centre,3.1 miles,Milan Romolo Station,Milan,818,price for 1 night,Milan,3,2.5,672,Hotel,3.5,1,10085,0,0% no offer,2017,11,0,0,1,1,3.1
Italy,Milan,228,1.1 miles,City centre,3.2 miles,Milan Romolo Station,Milan,179,price for 1 night,Milan,4,4,1189,Hotel,4,0,10086,1,15-50% offer,2017,11,0,0,1,1.1,3.2
Italy,Milan,139,1.9 miles,City centre,4.0 miles,Milan Romolo Station,Milan,121,price for 1 night,Milan,4,4,71,Hotel,4,1,10087,1,1-15% offer,2017,11,0,0,1,1.9,4
Italy,Milan,451,1.1 miles,City centre,3.1 miles,Milan Romolo Station,Milan,85,price for 1 night,Milan,3,3.5,438,Hotel,3.7,0,10089,1,15-50% offer,2017,11,0,0,1,1.1,3.1
Italy,Milan,114,0.8 miles,City centre,2.9 miles,Milan Romolo Station,Milan,123,price for 1 night,Milan,4,3.5,397,Hotel,3.5,0,10090,1,15-50% offer,2017,11,0,0,1,0.8,2.9
Italy,Milan,331,1.5 miles,City centre,3.6 miles,Milan Romolo Station,Milan,77,price for 1 night,Milan,3,3.5,389,Hotel,3.5,0,10092,1,15-50% offer,2017,11,0,0,1,1.5,3.6
Italy,Milan,49,3.9 miles,City centre,1.7 miles,Milan Romolo Station,Milan,101,price for 1 night,Milan,3,3.5,189,Hotel,3.9,0,10098,1,15-50% offer,2017,11,0,0,1,3.9,1.7
Italy,Milan,625,1.3 miles,City centre,3.4 miles,Milan Romolo Station,Milan,144,price for 1 night,Milan,4,4,889,Hotel,4,0,10099,1,15-50% offer,2017,11,0,0,1,1.3,3.4
Italy,Milan,148,1.7 miles,City centre,3.9 miles,Milan Romolo Station,Milan,113,price for 1 night,Milan,3,4.5,726,Hotel,4.4,0,10100,1,15-50% offer,2017,11,0,0,1,1.7,3.9
Italy,Milan,481,1.1 miles,City centre,3.2 miles,Milan Romolo Station,Milan,156,price for 1 night,Milan,4,4,1321,Hotel,4.4,0,10102,1,15-50% offer,2017,11,0,0,1,1.1,3.2
Italy,Milan,196,1.4 miles,City centre,3.5 miles,Milan Romolo Station,Milan,134,price for 1 night,Milan,3,4,101,Hotel,4.3,1,10104,1,75%+ offer,2017,11,0,0,1,1.4,3.5
Italy,Milan,817,0.9 miles,City centre,3.1 miles,Milan Romolo Station,Milan,131,price for 1 night,Milan,4,4,870,Hotel,4,0,10105,1,50%-75% offer,2017,11,0,0,1,0.9,3.1
Italy,Milan,167,1.0 mile,City centre,3.0 miles,Milan Romolo Station,Milan,164,price for 1 night,Milan,4,4,919,Hotel,4,0,10106,1,15-50% offer,2017,11,0,0,1,1,3
Italy,Milan,17,0.8 miles,City centre,2.9 miles,Milan Romolo Station,Milan,73,price for 1 night,Milan,3.5,3,574,Hotel,3.9,1,10107,1,15-50% offer,2017,11,0,0,1,0.8,2.9
Italy,Milan,1242,0.9 miles,City centre,2.9 miles,Milan Romolo Station,Milan,87,price for 1 night,Milan,3,3.5,6370,Hotel,3.7,0,10108,1,15-50% offer,2017,11,0,0,1,0.9,2.9
Italy,Milan,674,0.7 miles,City centre,2.8 miles,Milan Romolo Station,Milan,124,price for 1 night,Milan,4,4,1954,Hotel,4.1,1,10112,1,75%+ offer,2017,11,0,0,1,0.7,2.8
Italy,Milan,111,1.7 miles,City centre,1.3 miles,Milan Romolo Station,Milan,167,price for 1 night,Milan,4,3.5,1234,Hotel,3.7,0,10113,1,1-15% offer,2017,11,0,0,1,1.7,1.3
Italy,Milan,247,1.1 miles,City centre,3.3 miles,Milan Romolo Station,Milan,141,price for 1 night,Milan,4,4,253,Hotel,4,0,10114,1,1-15% offer,2017,11,0,0,1,1.1,3.3
Italy,Milan,85,2.1 miles,City centre,4.2 miles,Milan Romolo Station,Milan,95,price for 1 night,Milan,3,3.5,122,Hotel,3.7,1,10119,1,15-50% offer,2017,11,0,0,1,2.1,4.2
Italy,Milan,208,0.9 miles,City centre,2.9 miles,Milan Romolo Station,Milan,182,price for 1 night,Milan,4,4,1085,Hotel,4.3,0,10121,1,15-50% offer,2017,11,0,0,1,0.9,2.9
Italy,Milan,268,0.9 miles,City centre,2.9 miles,Milan Romolo Station,Milan,130,price for 1 night,Milan,4,4,1152,Hotel,4.1,0,10122,1,50%-75% offer,2017,11,0,0,1,0.9,2.9
Italy,Milan,522,1.2 miles,City centre,3.3 miles,Milan Romolo Station,Milan,187,price for 1 night,Milan,4,4,2700,Hotel,4.1,0,10126,1,50%-75% offer,2017,11,0,0,1,1.2,3.3
Italy,Milan,255,1.1 miles,City centre,3.1 miles,Milan Romolo Station,Milan,174,price for 1 night,Milan,4,4,785,Hotel,4,1,10131,1,1-15% offer,2017,11,0,0,1,1.1,3.1
Italy,Milan,484,3.8 miles,City centre,4.3 miles,Milan Romolo Station,Milan,151,price for 1 night,Milan,4,3.5,1667,Hotel,4,0,10133,0,0% no offer,2017,11,0,0,1,3.8,4.3
Italy,Milan,31,3.4 miles,City centre,4.0 miles,Milan Romolo Station,Milan,190,price for 1 night,Milan,4,4,15,Hotel,4.5,1,10134,1,15-50% offer,2017,11,0,0,1,3.4,4
Italy,Milan,118,1.4 miles,City centre,3.6 miles,Milan Romolo Station,Milan,192,price for 1 night,Milan,4,4,1165,Hotel,4.3,0,10139,1,15-50% offer,2017,11,0,0,1,1.4,3.6
Italy,Milan,205,1.1 miles,City centre,3.2 miles,Milan Romolo Station,Milan,150,price for 1 night,Milan,3,3,479,Hotel,3.5,1,10143,0,0% no offer,2017,11,0,0,1,1.1,3.2
Italy,Milan,278,1.1 miles,City centre,3.2 miles,Milan Romolo Station,Milan,91,price for 1 night,Milan,3,3.5,452,Hotel,3.5,1,10144,1,1-15% offer,2017,11,0,0,1,1.1,3.2
Italy,Milan,410,1.1 miles,City centre,3.2 miles,Milan Romolo Station,Milan,87,price for 1 night,Milan,3,3.5,600,Hotel,3.5,1,10145,1,15-50% offer,2017,11,0,0,1,1.1,3.2
Italy,Milan,55,0.8 miles,City centre,2.9 miles,Milan Romolo Station,Milan,92,price for 1 night,Milan,3,3,215,Hotel,2.9,1,10152,1,15-50% offer,2017,11,0,0,1,0.8,2.9
Italy,Milan,158,1.6 miles,City centre,3.7 miles,Milan Romolo Station,Milan,66,price for 1 night,Milan,3,3,472,Hotel,3.5,0,10153,1,15-50% offer,2017,11,0,0,1,1.6,3.7
Italy,Milan,279,1.4 miles,City centre,3.5 miles,Milan Romolo Station,Milan,133,price for 1 night,Milan,4,4,826,Hotel,4,0,10155,0,0% no offer,2017,11,0,0,1,1.4,3.5
Italy,Milan,203,1.3 miles,City centre,3.4 miles,Milan Romolo Station,Milan,111,price for 1 night,Milan,3,2.5,190,Hotel,3.2,0,10159,0,0% no offer,2017,11,0,0,1,1.3,3.4
Italy,Milan,149,1.3 miles,City centre,3.4 miles,Milan Romolo Station,Milan,141,price for 1 night,Milan,4,3.5,298,Hotel,3.7,0,10160,1,15-50% offer,2017,11,0,0,1,1.3,3.4
Italy,Milan,401,1.6 miles,City centre,3.7 miles,Milan Romolo Station,Milan,102,price for 1 night,Milan,3,3.5,631,Hotel,3.9,1,10162,1,15-50% offer,2017,11,0,0,1,1.6,3.7
Italy,Milan,207,1.4 miles,City centre,3.6 miles,Milan Romolo Station,Milan,67,price for 1 night,Milan,3,3,529,Hotel,3.2,0,10164,1,15-50% offer,2017,11,0,0,1,1.4,3.6
Italy,Milan,190,1.4 miles,City centre,3.6 miles,Milan Romolo Station,Milan,93,price for 1 night,Milan,3,3.5,207,Hotel,3.7,1,10165,1,1-15% offer,2017,11,0,0,1,1.4,3.6
Italy,Milan,1384,1.1 miles,City centre,3.2 miles,Milan Romolo Station,Milan,161,price for 1 night,Milan,4,4.5,6697,Hotel,4.5,0,10167,1,1-15% offer,2017,11,0,0,1,1.1,3.2
Italy,Milan,166,1.1 miles,City centre,3.2 miles,Milan Romolo Station,Milan,100,price for 1 night,Milan,3,4,537,Hotel,3.7,0,10168,1,15-50% offer,2017,11,0,0,1,1.1,3.2
Italy,Milan,338,1.2 miles,City centre,3.3 miles,Milan Romolo Station,Milan,114,price for 1 night,Milan,3,3,724,Hotel,3.2,0,10169,1,15-50% offer,2017,11,0,0,1,1.2,3.3
Italy,Milan,96,1.3 miles,City centre,3.3 miles,Milan Romolo Station,Milan,82,price for 1 night,Milan,3,3.5,158,Hotel,3.7,1,10172,1,15-50% offer,2017,11,0,0,1,1.3,3.3
Italy,Milan,146,2.8 miles,City centre,4.8 miles,Milan Romolo Station,Milan,74,price for 1 night,Milan,3,4,1030,Hotel,4,1,10179,1,15-50% offer,2017,11,0,0,1,2.8,4.8
Italy,Milan,368,2.1 miles,City centre,4.3 miles,Milan Romolo Station,Milan,67,price for 1 night,Milan,4,3,343,Hotel,3.4,0,10182,1,15-50% offer,2017,11,0,0,1,2.1,4.3
Italy,Milan,204,1.5 miles,City centre,3.6 miles,Milan Romolo Station,Milan,130,price for 1 night,Milan,4,4,1012,Hotel,4,1,10186,1,15-50% offer,2017,11,0,0,1,1.5,3.6
Italy,Milan,579,1.4 miles,City centre,3.5 miles,Milan Romolo Station,Milan,177,price for 1 night,Milan,4,4,1345,Hotel,4.5,0,10187,1,15-50% offer,2017,11,0,0,1,1.4,3.5
Italy,Milan,486,2.4 miles,City centre,4.6 miles,Milan Romolo Station,Milan,119,price for 1 night,Milan,4,3.5,1764,Hotel,4,0,10188,1,15-50% offer,2017,11,0,0,1,2.4,4.6
Italy,Milan,136,2.4 miles,City centre,4.6 miles,Milan Romolo Station,Milan,68,price for 1 night,Milan,3,3.5,1237,Hotel,3.7,0,10191,1,15-50% offer,2017,11,0,0,1,2.4,4.6
Italy,Milan,907,1.1 miles,City centre,3.2 miles,Milan Romolo Station,Milan,96,price for 1 night,Milan,3,3.5,675,Hotel,3.7,1,10194,1,50%-75% offer,2017,11,0,0,1,1.1,3.2
Italy,Milan,458,1.0 mile,City centre,3.2 miles,Milan Romolo Station,Milan,286,price for 1 night,Milan,4,4,1084,Hotel,4.4,0,10195,1,1-15% offer,2017,11,0,0,1,1,3.2
Italy,Milan,215,0.7 miles,City centre,2.0 miles,Milan Romolo Station,Milan Centre,202,price for 1 night,Milan,4,3.5,493,Hotel,3.7,0,10206,0,0% no offer,2017,11,0,0,1,0.7,2
Italy,Milan,162,0.9 miles,City centre,1.4 miles,Milan Romolo Station,Milan Centre,167,price for 1 night,Milan,3,4,380,Hotel,4,0,10209,0,0% no offer,2017,11,0,0,1,0.9,1.4
Italy,Milan,235,0.6 miles,City centre,1.6 miles,Milan Romolo Station,Milan Centre,146,price for 1 night,Milan,4,3,507,Hotel,3.5,0,10213,1,15-50% offer,2017,11,0,0,1,0.6,1.6
Italy,Milan,319,0.8 miles,City centre,1.6 miles,Milan Romolo Station,Milan Centre,174,price for 1 night,Milan,3,3.5,691,Hotel,3.7,0,10214,0,0% no offer,2017,11,0,0,1,0.8,1.6
Italy,Milan,79,0.9 miles,City centre,1.5 miles,Milan Romolo Station,Milan Centre,150,price for 1 night,Milan,3,4,400,Hotel,4.3,1,10217,1,15-50% offer,2017,11,0,0,1,0.9,1.5
Italy,Milan,436,1.1 miles,City centre,1.6 miles,Milan Romolo Station,Milan Centre,134,price for 1 night,Milan,4,3.5,629,Hotel,3.9,1,10226,1,15-50% offer,2017,11,0,0,1,1.1,1.6
Italy,Milan,56,1.4 miles,City centre,1.5 miles,Milan Romolo Station,Milan Centre,167,price for 1 night,Milan,4,3.5,155,Hotel,3.5,0,10228,0,0% no offer,2017,11,0,0,1,1.4,1.5
Italy,Milan,576,0.7 miles,City centre,2.0 miles,Milan Romolo Station,Milan Centre,178,price for 1 night,Milan,4,3.5,771,Hotel,3.9,0,10232,1,15-50% offer,2017,11,0,0,1,0.7,2
Italy,Milan,115,0.8 miles,City centre,1.3 miles,Milan Romolo Station,Milan Centre,164,price for 1 night,Milan,3,3.5,496,Hotel,3.9,1,10234,1,50%-75% offer,2017,11,0,0,1,0.8,1.3
Italy,Milan,603,0.7 miles,City centre,1.9 miles,Milan Romolo Station,Milan Centre,224,price for 1 night,Milan,4,4,1812,Hotel,4.4,0,10235,1,50%-75% offer,2017,11,0,0,1,0.7,1.9
Italy,Milan,59,1.2 miles,City centre,2.4 miles,Milan Romolo Station,Milan Centre,104,price for 1 night,Milan,3,3,126,Hotel,3.5,1,10241,1,15-50% offer,2017,11,0,0,1,1.2,2.4
Italy,Milan,449,0.8 miles,City centre,1.6 miles,Milan Romolo Station,Milan Centre,224,price for 1 night,Milan,4,4,1463,Hotel,4.1,1,10242,1,15-50% offer,2017,11,0,0,1,0.8,1.6
Italy,Milan,116,1.0 mile,City centre,2.8 miles,Milan Romolo Station,Milan Centre,185,price for 1 night,Milan,4,4,674,Hotel,4.3,0,10243,1,1-15% offer,2017,11,0,0,1,1,2.8
Italy,Milan,88,1.3 miles,City centre,0.9 miles,Milan Romolo Station,Milan Centre,134,price for 1 night,Milan,3,4.5,386,Hotel,4.1,1,10245,1,75%+ offer,2017,11,0,0,1,1.3,0.9
Italy,Milan,123,0.6 miles,City centre,1.7 miles,Milan Romolo Station,Milan Centre,282,price for 1 night,Milan,4,4.5,2159,Hotel,4.8,1,10247,1,15-50% offer,2017,11,0,0,1,0.6,1.7
Italy,Milan,259,0.6 miles,City centre,1.7 miles,Milan Romolo Station,Milan Centre,252,price for 1 night,Milan,4,4.5,1084,Hotel,4.5,0,10248,1,1-15% offer,2017,11,0,0,1,0.6,1.7
Italy,Milan,512,0.8 miles,City centre,1.6 miles,Milan Romolo Station,Milan Centre,246,price for 1 night,Milan,4,4.5,768,Hotel,4.6,1,10267,1,15-50% offer,2017,11,0,0,1,0.8,1.6
Italy,Milan,184,0.6 miles,City centre,1.6 miles,Milan Romolo Station,Milan Centre,95,price for 1 night,Milan,3,2.5,264,Hotel,3,1,10275,1,15-50% offer,2017,11,0,0,1,0.6,1.6
